                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                 1.1076,                0.88771,                 1.1306,                 0.8087,                0.91176,                 0.8626,                0.53385,                 1.3604,                0.97872,                 1.3229,              0.0011842,              0.0011842,              0.0011842
                    106,                  1.191,                 1.0166,                 1.1601,                 0.8087,                0.91176,                 0.8626,                0.53385,                 1.3604,                0.97872,                 1.3229,              0.0011763,              0.0011763,              0.0011763
                    107,                 1.1051,                 0.8644,                 1.1389,                0.81456,                0.91176,                0.86796,                0.52241,                 1.3772,                0.99836,                  1.318,              0.0011684,              0.0011684,              0.0011684
                    108,                 1.0533,                0.86053,                 1.0838,                0.81456,                0.91176,                0.86796,                0.52241,                 1.3772,                0.99836,                  1.318,              0.0011605,              0.0011605,              0.0011605
                    109,                0.92345,                0.87078,                 1.1072,                0.81456,                0.91176,                0.86796,                0.52241,                 1.3772,                0.99836,                  1.318,              0.0011526,              0.0011526,              0.0011526
                    110,                 1.1709,                0.91631,                 1.2007,                0.81456,                0.91176,                0.86796,                0.52241,                 1.3772,                0.99836,                  1.318,              0.0011446,              0.0011446,              0.0011446
                    111,                0.94571,                0.78715,                 1.0806,                0.69235,                 0.9268,                 0.7933,                0.47143,                 1.4148,                 1.0263,                 1.3518,              0.0011367,              0.0011367,              0.0011367
                    112,                 1.0036,                0.78381,                 1.1048,                0.69235,                 0.9268,                 0.7933,                0.47143,                 1.4148,                 1.0263,                 1.3518,              0.0011288,              0.0011288,              0.0011288
                    113,                  1.136,                0.84472,                 1.1189,                0.69235,                 0.9268,                 0.7933,                0.47143,                 1.4148,                 1.0263,                 1.3518,              0.0011209,              0.0011209,              0.0011209
                    114,                 1.0632,                0.82168,                 1.1076,                0.69235,                 0.9268,                 0.7933,                0.47143,                 1.4148,                 1.0263,                 1.3518,               0.001113,               0.001113,               0.001113
                    115,                 1.0706,                0.84813,                 1.0873,                0.68518,                0.83231,                 0.8594,                0.49832,                  1.475,                 1.0652,                 1.4354,               0.001105,               0.001105,               0.001105
                    116,                 1.0821,                0.79412,                 1.0709,                0.68518,                0.83231,                 0.8594,                0.49832,                  1.475,                 1.0652,                 1.4354,              0.0010971,              0.0010971,              0.0010971
                    117,                0.97393,                0.80257,                 1.0734,                0.68518,                0.83231,                 0.8594,                0.49832,                  1.475,                 1.0652,                 1.4354,              0.0010892,              0.0010892,              0.0010892
                    118,                 1.0454,                0.87372,                 1.1616,                0.68518,                0.83231,                 0.8594,                0.49832,                  1.475,                 1.0652,                 1.4354,              0.0010813,              0.0010813,              0.0010813
                    119,                 1.0058,                0.78851,                 1.0787,                0.72829,                0.78847,                0.79659,                0.42584,                 1.6014,                  1.174,                 1.5223,              0.0010734,              0.0010734,              0.0010734
                    120,                 0.9713,                0.97124,                 1.1853,                0.72829,                0.78847,                0.79659,                0.42584,                 1.6014,                  1.174,                 1.5223,              0.0010654,              0.0010654,              0.0010654
                    121,                 1.0225,                0.78946,                 1.1257,                0.72829,                0.78847,                0.79659,                0.42584,                 1.6014,                  1.174,                 1.5223,              0.0010575,              0.0010575,              0.0010575
                    122,                 1.0273,                 0.7495,                 1.0589,                0.72829,                0.78847,                0.79659,                0.42584,                 1.6014,                  1.174,                 1.5223,              0.0010496,              0.0010496,              0.0010496
