                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.29038,                0.20567,                0.79506,                0.99778,                0.99924,                0.99499,                0.97537,                0.22265,                0.15915,                0.78918,              0.0003272,              0.0003272,              0.0003272
                     95,                0.28424,                0.20153,                0.79508,                0.99873,                0.99881,                0.99499,                0.97414,                0.22344,                0.16037,                0.78977,              0.0003217,              0.0003217,              0.0003217
                     96,                0.28492,                0.20148,                0.79593,                0.99897,                0.99902,                0.99499,                  0.975,                0.22617,                0.15511,                0.78919,             0.00031621,             0.00031621,             0.00031621
                     97,                0.28221,                0.20077,                0.79377,                0.99868,                0.99931,                0.99498,                0.97609,                0.22254,                0.15536,                0.78892,             0.00031071,             0.00031071,             0.00031071
                     98,                0.28628,                0.20195,                0.79537,                0.99832,                0.99892,                0.99498,                0.97629,                0.21614,                0.15011,                0.78706,             0.00030521,             0.00030521,             0.00030521
                     99,                0.28271,                0.20013,                0.79362,                 0.9984,                0.99942,                0.99499,                0.97641,                0.22151,                0.15189,                0.78752,             0.00029971,             0.00029971,             0.00029971
                    100,                0.27982,                0.19974,                0.79287,                0.99841,                0.99942,                0.99498,                0.97492,                 0.2239,                0.15539,                0.78624,             0.00029422,             0.00029422,             0.00029422
                    101,                0.27912,                0.19959,                0.79264,                0.99928,                0.99869,                0.99499,                0.97588,                0.21839,                0.15373,                0.78724,             0.00028872,             0.00028872,             0.00028872
                    102,                0.28178,                0.19924,                0.79312,                0.99863,                0.99913,                0.99499,                0.97584,                0.22053,                0.15515,                0.78761,             0.00028322,             0.00028322,             0.00028322
                    103,                0.27463,                0.19531,                 0.7915,                0.99859,                0.99926,                0.99498,                0.97728,                0.21355,                0.15051,                0.78603,             0.00027772,             0.00027772,             0.00027772
                    104,                0.27398,                0.19551,                0.79161,                0.99856,                0.99929,                0.99499,                0.97572,                0.21969,                0.14905,                0.78486,             0.00027222,             0.00027222,             0.00027222
                    105,                0.27711,                0.19594,                 0.7918,                0.99876,                0.99888,                0.99499,                0.97634,                0.21697,                0.15172,                0.78647,             0.00026673,             0.00026673,             0.00026673
                    106,                0.27502,                0.19529,                0.79375,                0.99897,                0.99897,                0.99499,                0.97664,                0.21127,                0.15191,                0.78687,             0.00026123,             0.00026123,             0.00026123
                    107,                0.27199,                0.19356,                0.79337,                 0.9983,                 0.9994,                0.99498,                0.97693,                0.21518,                 0.1482,                0.78645,             0.00025573,             0.00025573,             0.00025573
                    108,                0.27325,                0.19475,                 0.7938,                0.99852,                0.99904,                0.99499,                 0.9767,                0.21454,                0.15342,                0.78859,             0.00025023,             0.00025023,             0.00025023
                    109,                 0.2725,                0.19447,                0.79323,                0.99882,                0.99912,                0.99497,                0.97695,                 0.2126,                0.14774,                0.78562,             0.00024474,             0.00024474,             0.00024474
                    110,                 0.2699,                0.19103,                0.79282,                0.99904,                0.99903,                0.99499,                0.97811,                0.21172,                0.14854,                0.78604,             0.00023924,             0.00023924,             0.00023924
                    111,                 0.2748,                0.19506,                0.79375,                0.99863,                0.99924,                0.99499,                  0.977,                0.21053,                0.14559,                0.78507,             0.00023374,             0.00023374,             0.00023374
                    112,                0.26927,                0.19236,                 0.7925,                0.99812,                0.99952,                0.99499,                0.97818,                0.20756,                 0.1464,                0.78517,             0.00022824,             0.00022824,             0.00022824
                    113,                0.26365,                0.19009,                 0.7913,                0.99858,                0.99917,                0.99499,                0.97787,                0.20701,                0.14317,                0.78448,             0.00022274,             0.00022274,             0.00022274
                    114,                0.26752,                0.19053,                0.79317,                0.99867,                 0.9991,                0.99499,                0.97757,                0.20619,                0.14325,                0.78448,             0.00021725,             0.00021725,             0.00021725
                    115,                0.26692,                0.18876,                0.79269,                 0.9985,                0.99883,                0.99499,                0.97724,                0.20839,                0.14696,                0.78507,             0.00021175,             0.00021175,             0.00021175
                    116,                0.26288,                0.18821,                0.79102,                0.99836,                0.99947,                0.99499,                0.97825,                0.20362,                0.14592,                0.78489,             0.00020625,             0.00020625,             0.00020625
                    117,                0.26414,                0.18806,                0.79247,                0.99866,                0.99892,                0.99498,                0.97756,                 0.2005,                0.14044,                0.78547,             0.00020075,             0.00020075,             0.00020075
                    118,                0.26581,                0.18925,                0.79433,                0.99908,                  0.999,                0.99499,                0.97854,                0.20194,                0.14265,                0.78563,             0.00019526,             0.00019526,             0.00019526
                    119,                0.26429,                0.18885,                 0.7915,                0.99863,                0.99944,                0.99499,                0.97802,                0.20383,                0.14728,                0.78771,             0.00018976,             0.00018976,             0.00018976
                    120,                0.26213,                0.18665,                 0.7909,                0.99831,                0.99958,                0.99499,                0.97841,                0.20283,                0.14342,                0.78569,             0.00018426,             0.00018426,             0.00018426
                    121,                0.25603,                0.18447,                   0.79,                0.99924,                 0.9991,                0.99499,                0.97894,                0.19865,                0.14414,                0.78516,             0.00017876,             0.00017876,             0.00017876
                    122,                0.26409,                0.18762,                0.79127,                0.99905,                0.99905,                0.99499,                0.97927,                 0.2012,                0.14652,                0.78486,             0.00017326,             0.00017326,             0.00017326
                    123,                0.25799,                 0.1839,                0.79232,                0.99891,                0.99928,                0.99499,                0.97859,                0.19774,                0.14189,                 0.7847,             0.00016777,             0.00016777,             0.00016777
                    124,                 0.2583,                0.18457,                0.78914,                0.99917,                0.99901,                0.99499,                0.97893,                0.19923,                0.14082,                0.78442,             0.00016227,             0.00016227,             0.00016227
                    125,                0.25859,                0.18407,                0.79167,                0.99889,                0.99974,                0.99499,                0.97902,                0.19713,                0.14168,                0.78497,             0.00015677,             0.00015677,             0.00015677
                    126,                0.25297,                0.18211,                0.79147,                0.99882,                0.99982,                0.99499,                0.97943,                0.19397,                0.13849,                0.78461,             0.00015127,             0.00015127,             0.00015127
                    127,                0.25483,                0.18177,                0.78889,                0.99876,                0.99958,                0.99499,                0.98037,                0.19314,                 0.1396,                 0.7842,             0.00014577,             0.00014577,             0.00014577
                    128,                0.25089,                0.17999,                0.79086,                0.99913,                0.99921,                0.99499,                0.97997,                0.19362,                 0.1394,                0.78557,             0.00014028,             0.00014028,             0.00014028
                    129,                0.25454,                0.18165,                0.78966,                0.99923,                0.99911,                0.99499,                0.98002,                0.19266,                 0.1373,                0.78438,             0.00013478,             0.00013478,             0.00013478
                    130,                0.24852,                0.17931,                0.78965,                0.99914,                0.99915,                0.99499,                0.97988,                 0.1898,                0.13627,                0.78244,             0.00012928,             0.00012928,             0.00012928
                    131,                0.24841,                 0.1782,                0.78894,                0.99894,                 0.9993,                0.99499,                0.97987,                0.19083,                0.13683,                0.78274,             0.00012378,             0.00012378,             0.00012378
                    132,                0.24892,                 0.1791,                0.78906,                0.99887,                0.99939,                0.99499,                0.97974,                0.19052,                0.13542,                0.78222,             0.00011829,             0.00011829,             0.00011829
                    133,                0.24895,                0.17824,                0.78866,                0.99897,                0.99913,                0.99499,                0.98046,                0.18665,                0.13673,                0.78285,             0.00011279,             0.00011279,             0.00011279
                    134,                0.24466,                0.17684,                 0.7875,                 0.9991,                0.99932,                0.99499,                0.98042,                0.18726,                0.13652,                0.78191,             0.00010729,             0.00010729,             0.00010729
                    135,                0.24618,                0.17668,                0.78789,                0.99927,                0.99918,                0.99499,                0.98089,                0.18846,                0.13465,                0.78193,             0.00010179,             0.00010179,             0.00010179
                    136,                0.24208,                0.17468,                0.78834,                0.99902,                0.99939,                0.99499,                0.98057,                 0.1866,                0.13115,                0.78116,             9.6295e-05,             9.6295e-05,             9.6295e-05
                    137,                0.24447,                 0.1751,                0.78724,                0.99897,                0.99964,                0.99499,                  0.981,                 0.1836,                0.13031,                0.78111,             9.0797e-05,             9.0797e-05,             9.0797e-05
                    138,                0.24377,                0.17542,                0.78896,                0.99929,                0.99908,                0.99499,                0.98123,                0.18563,                 0.1318,                0.78137,             8.5299e-05,             8.5299e-05,             8.5299e-05
                    139,                 0.2391,                0.17334,                0.78902,                0.99851,                0.99967,                0.99499,                0.98124,                0.18505,                0.13263,                0.78169,             7.9801e-05,             7.9801e-05,             7.9801e-05
                    140,                0.24132,                 0.1738,                0.78693,                0.99901,                0.99935,                0.99499,                0.98129,                0.18557,                0.13481,                0.78204,             7.4304e-05,             7.4304e-05,             7.4304e-05
                    141,                0.22895,                0.16145,                 0.7805,                0.99903,                 0.9993,                0.99499,                0.97919,                0.19416,                0.14098,                0.78277,             6.8806e-05,             6.8806e-05,             6.8806e-05
                    142,                0.22082,                0.15606,                0.77896,                0.99918,                0.99922,                0.99499,                0.98007,                0.19385,                0.13957,                0.78289,             6.3308e-05,             6.3308e-05,             6.3308e-05
                    143,                0.21498,                0.15356,                0.77633,                0.99929,                0.99925,                0.99499,                0.98068,                0.18791,                0.13799,                0.78303,              5.781e-05,              5.781e-05,              5.781e-05
                    144,                0.21587,                 0.1526,                  0.778,                0.99896,                0.99916,                0.99499,                0.98071,                0.18841,                0.13793,                0.78344,             5.2312e-05,             5.2312e-05,             5.2312e-05
                    145,                0.21358,                0.15257,                0.77827,                  0.999,                0.99948,                0.99499,                0.98119,                0.18476,                0.13438,                 0.7836,             4.6815e-05,             4.6815e-05,             4.6815e-05
                    146,                0.21136,                0.15033,                 0.7758,                 0.9992,                0.99924,                0.99499,                0.98141,                0.18457,                0.13649,                0.78352,             4.1317e-05,             4.1317e-05,             4.1317e-05
                    147,                0.20846,                0.14892,                 0.7775,                0.99892,                 0.9995,                0.99499,                0.98127,                0.18421,                0.13467,                0.78252,             3.5819e-05,             3.5819e-05,             3.5819e-05
                    148,                0.20661,                0.14827,                0.77669,                0.99891,                0.99957,                0.99499,                0.98186,                0.17983,                0.13257,                0.78202,             3.0321e-05,             3.0321e-05,             3.0321e-05
                    149,                0.20771,                0.14917,                0.77683,                0.99888,                0.99971,                0.99499,                0.98182,                0.17942,                0.13154,                0.78194,             2.4823e-05,             2.4823e-05,             2.4823e-05
                    150,                0.20549,                0.14751,                0.77583,                0.99923,                 0.9993,                0.99499,                0.98193,                0.17926,                0.13111,                0.78198,             1.9326e-05,             1.9326e-05,             1.9326e-05
